study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	lower_quartile	median	upper_quartile	min	max	unit	comments
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	0.0	hr	NA	NA	NA	12.1	13.0	14.0	NA	16.9	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	2.0	hr	NA	NA	NA	13.0	14.0	16.1	NA	21.0	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	4.0	hr	NA	NA	NA	13.0	13.9	15.0	NA	19.0	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	24.0	hr	NA	NA	NA	12.1	12.5	13.8	NA	17.0	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	48.0	hr	NA	NA	NA	12.0	NA	13.8	NA	16.0	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_moderateHI	72.0	hr	NA	NA	NA	12.1	12.5	13.7	NA	17.0	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	0.0	hr	NA	NA	NA	10.2	11.0	11.7	10.0	12.0	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	2.0	hr	NA	NA	NA	12.0	NA	12.9	11.0	13.9	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	4.0	hr	NA	NA	NA	11.9	NA	12.9	10.9	14.0	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	24.0	hr	NA	NA	NA	10.9	NA	11.6	9.9	11.9	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	48.0	hr	NA	NA	NA	10.2	10.9	11.8	9.9	11.8	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyB	72.0	hr	NA	NA	NA	10.9	NA	12.0	9.9	NA	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	0.0	hr	NA	NA	NA	30.8	31.7	33.6	30.1	39.1	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	2.0	hr	NA	NA	NA	32.3	34.2	35.8	31.0	43.2	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	4.0	hr	NA	NA	NA	31.6	34.3	37.8	30.2	42.4	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	24.0	hr	NA	NA	NA	30.4	32.6	34.2	30.3	37.3	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	48.0	hr	NA	NA	NA	30.5	33.7	34.2	29.3	35.4	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_mildHI	72.0	hr	NA	NA	NA	30.0	32.9	33.9	29.3	39.4	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	0.0	hr	NA	NA	NA	29.2	29.9	31.5	25.2	34.2	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	2.0	hr	NA	NA	NA	33.5	35.1	38.8	32.1	39.2	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	4.0	hr	NA	NA	NA	32.5	33.2	35.9	31.1	38.2	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	24.0	hr	NA	NA	NA	29.4	31.4	34.4	27.3	35.2	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	48.0	hr	NA	NA	NA	28.2	29.3	31.9	26.3	34.4	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyA	72.0	hr	NA	NA	NA	29.2	29.9	31.3	26.2	32.2	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	0.0	hr	NA	NA	NA	28.0	33.1	37.1	25.0	45.0	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	2.0	hr	NA	NA	NA	33.0	35.0	46.1	27.0	49.9	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	4.0	hr	NA	NA	NA	28.2	34.5	40.8	27.9	46.1	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	24.0	hr	NA	NA	NA	31.2	34.0	42.1	28.1	47.1	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	48.0	hr	NA	NA	NA	30.2	33.6	40.0	26.1	44.2	sec	NA
Mendell2015	NA	moderateHI	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_moderateHI	72.0	hr	NA	NA	NA	32.1	34.1	42.5	27.1	46.2	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	0.0	hr	NA	NA	NA	25.3	29.0	31.8	23.2	32.0	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	2.0	hr	NA	NA	NA	30.7	34.3	38.4	28.2	40.1	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	4.0	hr	NA	NA	NA	30.5	33.2	36.8	28.2	39.1	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	24.0	hr	NA	NA	NA	26.6	29.2	32.2	26.1	33.2	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	48.0	hr	NA	NA	NA	26.4	29.8	32.1	25.3	33.2	sec	NA
Mendell2015	NA	healthyB	8.0	ED15	aPTT	NA	plasma	coagulation assay	aPTT_healthyB	72.0	hr	NA	NA	NA	26.3	28.8	31.9	26.1	33.3	sec	NA
