study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	timeraw	comments
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	96.0	hr	NA	28.09	29.79	1.7	NA	sec	24.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	72.0	hr	NA	28.17	NA	NA	NA	sec	0.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	72.5	hr	NA	32.11	35.77	3.66	NA	sec	0.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	73.0	hr	NA	33.79	37.45	3.66	NA	sec	1.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	73.5	hr	NA	34.91	38.01	3.1	NA	sec	1.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	74.0	hr	NA	35.19	38.01	2.82	NA	sec	2.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	75.0	hr	NA	33.77	37.15	3.38	NA	sec	3.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	76.0	hr	NA	33.19	36.01	2.82	NA	sec	4.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	78.0	hr	NA	31.76	34.02	2.26	NA	sec	6.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	82.0	hr	NA	30.03	32.0	1.97	NA	sec	10.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	86.0	hr	NA	28.85	30.54	1.69	NA	sec	14.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60_2	96.0	hr	NA	27.89	29.58	1.69	NA	sec	24.0	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	0.0	hr	NA	35.78	NA	NA	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	0.5	hr	NA	44.22	52.11	7.89	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	1.0	hr	NA	49.0	57.74	8.74	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	1.5	hr	NA	49.56	58.01	8.45	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	2.0	hr	NA	48.15	55.75	7.6	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	3.0	hr	NA	45.32	51.8	6.48	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	4.0	hr	NA	42.77	48.97	6.2	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	6.0	hr	NA	39.09	44.16	5.06999999999999	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	10.0	hr	NA	35.38	38.76	3.38	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	14.0	hr	NA	33.36	36.17	2.81	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60	24.0	hr	NA	30.42	32.11	1.69	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	0.0	hr	NA	33.97	38.63	4.66	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	1.0	hr	NA	40.27	46.3	6.02999999999999	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	1.5	hr	NA	46.03	51.51	5.48	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	2.0	hr	NA	44.38	50.96	6.58	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	3.0	hr	NA	42.47	46.85	4.38	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	4.0	hr	NA	33.7	36.71	3.01	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiDAB150	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150	12.0	hr	NA	34.79	38.63	3.84	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	0.0	hr	NA	35.07	NA	NA	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	0.5	hr	NA	43.56	56.99	13.43	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	1.0	hr	NA	48.22	57.26	9.04	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	1.5	hr	NA	48.77	54.79	6.02	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	2.0	hr	NA	47.67	50.96	3.29	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	3.0	hr	NA	44.38	46.58	2.2	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	4.0	hr	NA	41.92	43.29	1.37	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	6.0	hr	NA	38.63	38.08	0.550000000000004	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	10.0	hr	NA	34.79	36.71	1.92	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	14.0	hr	NA	33.97	35.34	1.37	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiDAB150, ED60	aPTT	NA	plasma	coagulation assay	aPTT_multiDAB150, ED60_2	24.0	hr	NA	33.15	31.51	1.64	NA	sec	NA	NA
